"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3510","Demo","webkit","2026-07-18","passed","2026-07-18","","Demo.spec.js","",""
"","467","has title","firefox","2026-07-18","passed","2026-07-18","","example.spec.js","",""
"","408","get started link","chromium","2026-07-18","passed","2026-07-18","","example.spec.js","",""
"","861","get started link","firefox","2026-07-18","passed","2026-07-18","","example.spec.js","",""
"","490","Demo1","firefox","2026-07-18","passed","2026-07-18","","Demo.spec.js","",""
"","1851","Demo","firefox","2026-07-18","passed","2026-07-18","","Demo.spec.js","",""
"","1850","get started link","webkit","2026-07-18","passed","2026-07-18","","example.spec.js","",""
"","807","Demo","chromium","2026-07-18","passed","2026-07-18","","Demo.spec.js","",""
"","714","has title","webkit","2026-07-18","passed","2026-07-18","","example.spec.js","",""
"","247","has title","chromium","2026-07-18","passed","2026-07-18","","example.spec.js","",""
"","295","Demo1","chromium","2026-07-18","passed","2026-07-18","","Demo.spec.js","",""
"","556","Demo1","webkit","2026-07-18","passed","2026-07-18","","Demo.spec.js","",""
